Month,Russian,Spanish,Chinese,Portuguese,French,French Criole
2013-07,7,42,21,2,22,0
2013-08,7,47,21,3,22,0
2013-09,6,48,21,2,21,0
2013-10,6,49,20,2,21,0
2013-11,7,44,22,2,20,0
2013-12,8,43,25,2,23,0
2014-01,7,44,27,2,22,0
2014-02,11,47,25,3,22,0
2014-03,9,45,23,2,21,0
2014-04,8,48,24,2,25,0
2014-05,8,51,24,2,26,0
2014-06,8,49,21,3,26,0
2014-07,8,48,22,3,22,0
2014-08,8,51,22,2,22,0
2014-09,7,60,20,2,26,0
2014-10,7,60,21,3,24,0
2014-11,9,55,20,3,23,0
2014-12,9,55,25,2,23,0
2015-01,8,59,24,4,29,0
2015-02,8,54,27,3,24,0
2015-03,8,59,22,4,25,0
2015-04,9,61,21,2,24,0
2015-05,8,66,23,3,27,0
2015-06,8,59,23,3,25,0
2015-07,6,58,24,2,22,0
2015-08,6,63,23,3,23,0
2015-09,7,76,24,3,24,0
2015-10,9,70,23,2,23,0
2015-11,10,67,24,2,29,0
2015-12,9,63,26,3,25,0
2016-01,7,68,26,3,24,0
2016-02,7,68,30,3,25,0
2016-03,7,70,23,3,26,0
2016-04,7,70,25,3,27,0
2016-05,7,73,25,3,27,0
2016-06,7,67,24,3,25,0
2016-07,7,70,26,3,24,0
2016-08,8,72,23,3,24,0
2016-09,6,85,24,3,24,0
2016-10,7,77,23,2,24,0
2016-11,7,78,23,2,25,0
2016-12,11,74,26,3,24,0
2017-01,8,80,32,3,25,0
2017-02,9,81,25,3,26,0
2017-03,8,83,24,3,26,0
2017-04,9,85,27,3,29,0
2017-05,7,88,24,3,30,0
2017-06,8,83,24,3,31,0
2017-07,8,79,25,3,25,0
2017-08,7,87,23,4,24,0
2017-09,6,81,23,3,21,0
2017-10,7,93,22,3,25,0
2017-11,7,84,25,3,25,0
2017-12,8,89,27,4,26,0
2018-01,7,87,27,4,27,0
2018-02,9,91,31,4,28,0
2018-03,8,91,23,3,25,0
2018-04,9,95,24,3,25,0
2018-05,7,99,24,3,28,0
2018-06,8,91,24,4,31,0
2018-07,9,93,24,4,27,0
2018-08,7,100,24,4,24,0
2018-09,7,99,24,3,26,0
2018-10,7,100,23,4,24,0
2018-11,7,97,24,4,25,0
2018-12,8,91,29,4,27,0
2019-01,8,93,28,4,25,0
2019-02,10,96,30,5,25,0
2019-03,8,91,25,3,24,0
2019-04,7,92,25,4,25,0
